Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
469,Isaiah Stewart\stewais01,C,19,DET,68,14,1455,5.6,10.1,.553,0.5,1.6,.333,5.1,8.6,.592,1.6,2.3,.696,3.9,7.3,11.2,1.5,1.0,2.1,1.7,4.6,13.3
470,Max Strus\strusma01,SF,24,MIA,39,0,507,6.0,13.3,.455,3.6,10.5,.338,2.5,2.8,.897,1.1,1.7,.667,0.4,2.6,2.9,1.7,0.8,0.1,0.6,3.1,16.8
471,Edmond Sumner\sumneed01,SG,25,IND,53,24,861,6.2,11.8,.525,1.5,3.7,.398,4.7,8.1,.582,2.8,3.5,.819,0.8,3.2,3.9,2.0,1.4,0.4,2.1,3.7,16.7
472,Jae'Sean Tate\tateja01,SF,25,HOU,70,58,2043,5.6,11.0,.506,1.1,3.4,.308,4.5,7.6,.595,1.8,2.6,.694,2.3,4.3,6.6,3.1,1.5,0.6,1.7,3.9,14.0
473,Jayson Tatum\tatumja01,SF,22,BOS,64,64,2290,9.5,20.7,.459,2.9,7.6,.386,6.6,13.1,.502,4.6,5.3,.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.6
474,Jeff Teague\teaguje01,PG,32,TOT,55,7,950,4.7,10.8,.433,1.4,3.1,.439,3.3,7.7,.431,3.4,4.0,.848,0.6,2.8,3.3,5.0,1.3,0.5,2.4,2.1,14.1
474,Jeff Teague\teaguje01,PG,32,BOS,34,5,616,4.6,11.0,.415,1.5,3.3,.464,3.0,7.7,.394,3.0,3.6,.836,0.6,2.7,3.3,4.3,1.5,0.4,2.3,2.5,13.6
474,Jeff Teague\teaguje01,PG,32,MIL,21,2,334,4.9,10.3,.469,1.1,2.8,.385,3.8,7.5,.500,4.1,4.7,.864,0.5,2.8,3.3,6.4,0.9,0.5,2.7,1.4,14.9
475,Garrett Temple\templga01,SG,34,CHI,56,25,1528,3.7,9.0,.415,1.6,4.7,.335,2.1,4.3,.503,0.9,1.2,.800,0.7,3.1,3.8,2.9,1.0,0.7,1.4,3.0,10.0
476,Tyrell Terry\terryty01,PG,20,DAL,11,0,56,3.2,10.3,.313,0.0,4.5,.000,3.2,5.8,.556,0.6,1.9,.333,0.0,3.9,3.9,3.9,3.2,0.0,1.3,1.3,7.1
477,Daniel Theis\theisda01,C,28,TOT,65,51,1601,5.7,10.5,.541,1.1,3.4,.322,4.6,7.1,.646,1.7,2.5,.673,2.1,5.9,8.0,2.4,0.9,1.3,1.5,3.8,14.1
477,Daniel Theis\theisda01,C,28,BOS,42,37,1027,5.6,10.1,.552,1.2,3.3,.347,4.4,6.8,.653,1.6,2.3,.687,1.9,5.8,7.7,2.3,0.9,1.5,1.4,4.2,13.9
477,Daniel Theis\theisda01,C,28,CHI,23,14,574,5.8,11.2,.522,1.0,3.6,.281,4.8,7.6,.636,1.8,2.7,.651,2.4,6.1,8.5,2.6,1.0,0.9,1.6,2.9,14.4
478,Brodric Thomas\thomabr01,SG,24,TOT,32,1,399,3.5,9.7,.361,1.4,5.3,.271,2.1,4.4,.469,2.8,4.2,.674,0.7,4.1,4.8,2.7,1.4,0.9,2.0,3.6,11.3
478,Brodric Thomas\thomabr01,SG,24,HOU,4,0,24,3.0,10.5,.286,1.5,9.0,.167,1.5,1.5,1.000,7.5,10.5,.714,1.5,4.5,6.0,6.0,1.5,1.5,6.0,7.5,15.0
478,Brodric Thomas\thomabr01,SG,24,CLE,28,1,375,3.6,9.7,.366,1.4,5.1,.283,2.1,4.6,.458,2.5,3.7,.667,0.7,4.0,4.7,2.5,1.3,0.9,1.7,3.4,11.0
479,Isaiah Thomas\thomais02,PG,31,NOP,3,0,48,6.8,20.3,.333,2.3,9.0,.250,4.5,11.3,.400,1.5,1.5,1.000,0.7,2.3,3.0,3.7,0.7,0.0,4.5,2.3,17.2
480,Khyri Thomas\thomakh01,SG,24,HOU,5,2,153,7.5,15.5,.485,2.1,6.4,.333,5.4,9.2,.590,2.1,2.1,1.000,1.6,2.6,4.2,5.9,2.1,1.4,1.4,1.9,19.3
481,Matt Thomas\thomama02,SG,26,TOT,45,0,326,5.5,14.0,.394,3.0,8.8,.338,2.5,5.2,.489,1.3,1.5,.857,0.8,4.1,4.9,2.1,0.4,0.0,1.5,2.0,15.3
481,Matt Thomas\thomama02,SG,26,TOR,26,0,192,4.5,11.6,.387,3.2,7.7,.415,1.3,3.9,.333,1.1,1.3,.857,0.6,3.4,3.9,1.7,0.4,0.0,1.1,1.9,13.3
481,Matt Thomas\thomama02,SG,26,UTA,19,0,134,7.0,17.5,.400,2.7,10.5,.256,4.3,7.0,.615,1.6,1.9,.857,1.1,5.1,6.2,2.7,0.5,0.0,2.1,2.1,18.3
482,Tristan Thompson\thomptr01,PF,29,BOS,54,43,1287,4.7,9.1,.518,0.0,0.1,.000,4.7,9.0,.523,2.0,3.4,.592,4.7,7.6,12.3,1.9,0.7,0.9,1.7,3.3,11.4
483,Sindarius Thornwell\thornsi01,SG,26,TOT,21,1,217,2.5,7.6,.326,1.2,3.8,.304,1.3,3.8,.348,0.7,1.3,.500,0.5,2.5,3.0,3.5,2.2,0.3,1.2,2.5,6.8
483,Sindarius Thornwell\thornsi01,SG,26,NOP,14,1,73,3.5,10.4,.333,1.5,4.4,.333,2.0,5.9,.333,0.0,1.0,.000,0.5,2.0,2.5,2.0,2.5,0.5,2.0,1.5,8.4
483,Sindarius Thornwell\thornsi01,SG,26,ORL,7,0,144,2.0,6.2,.320,1.0,3.5,.286,1.0,2.7,.364,1.0,1.5,.667,0.5,2.7,3.2,4.2,2.0,0.2,0.7,3.0,6.0
484,Matisse Thybulle\thybuma01,SG,23,PHI,65,8,1298,2.8,6.7,.420,1.2,4.0,.301,1.6,2.8,.590,0.2,0.5,.444,0.8,2.6,3.4,1.7,2.9,2.0,0.9,3.5,7.1
485,Killian Tillie\tilliki02,C,22,MEM,18,1,182,3.8,11.3,.333,2.0,6.5,.303,1.8,4.7,.375,1.8,2.2,.818,1.2,3.6,4.7,1.6,1.0,1.6,0.4,4.0,11.3
486,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,59,12,1085,5.5,9.9,.559,0.7,2.2,.338,4.8,7.8,.620,1.1,1.8,.642,2.5,6.0,8.5,2.5,1.5,1.1,1.5,3.8,12.9
487,Anthony Tolliver\tollian01,PF,35,PHI,11,0,99,1.5,6.2,.235,1.5,5.1,.286,0.0,1.1,.000,1.8,2.2,.833,1.1,2.5,3.6,0.7,1.1,0.7,1.1,2.5,6.2
488,Obi Toppin\toppiob01,PF,22,NYK,62,0,683,5.5,11.0,.498,1.4,4.5,.306,4.1,6.5,.629,1.0,1.4,.731,1.4,5.9,7.3,1.5,0.9,0.8,1.2,2.9,13.3
489,Juan Toscano-Anderson\toscaju01,SG,27,GSW,53,16,1107,3.9,6.8,.579,1.2,3.0,.402,2.7,3.8,.718,0.7,1.0,.710,0.9,6.7,7.6,4.9,1.3,0.8,2.0,3.6,9.8
490,Axel Toupane\toupaax01,SF,28,MIL,8,1,61,2.4,6.5,.364,0.6,1.2,.500,1.8,5.3,.333,3.0,4.1,.714,0.0,3.5,3.5,2.4,1.2,1.8,0.0,3.5,8.3
491,Karl-Anthony Towns\townska01,C,25,MIN,50,50,1689,9.1,18.7,.486,2.6,6.7,.387,6.5,11.9,.541,5.7,6.6,.859,2.8,8.4,11.3,4.8,0.8,1.2,3.4,4.0,26.4
492,Gary Trent Jr.\trentga02,SG,22,TOT,58,38,1802,6.4,15.7,.408,3.3,8.6,.385,3.1,7.1,.435,1.7,2.1,.783,0.5,2.5,3.0,1.6,1.1,0.2,0.9,1.8,17.7
492,Gary Trent Jr.\trentga02,SG,22,POR,41,23,1262,6.2,14.9,.414,3.5,8.7,.397,2.7,6.2,.438,1.7,2.1,.773,0.6,2.0,2.6,1.7,1.1,0.2,0.9,1.8,17.5
492,Gary Trent Jr.\trentga02,SG,22,TOR,17,15,540,6.9,17.4,.395,2.9,8.3,.355,3.9,9.1,.431,1.7,2.1,.806,0.4,3.7,4.1,1.5,1.3,0.3,0.8,1.9,18.3
493,P.J. Tucker\tuckepj01,PF,35,TOT,52,33,1356,1.8,4.7,.373,1.1,3.2,.336,0.7,1.5,.448,0.6,0.7,.750,1.4,4.1,5.4,1.6,1.0,0.5,1.1,3.3,5.1
493,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,959,1.8,4.9,.366,1.0,3.2,.314,0.8,1.7,.467,0.7,0.9,.783,1.2,4.3,5.6,1.7,1.1,0.7,1.2,3.4,5.3
493,P.J. Tucker\tuckepj01,PF,35,MIL,20,1,397,1.6,4.2,.391,1.2,3.0,.394,0.5,1.2,.385,0.3,0.5,.600,1.6,3.4,5.1,1.5,0.9,0.2,0.6,3.1,4.7
494,Rayjon Tucker\tuckera01,PG,23,PHI,14,0,68,4.8,9.5,.500,1.1,3.7,.286,3.7,5.8,.636,7.4,10.1,.737,0.5,5.3,5.8,3.2,1.1,0.0,2.1,4.2,18.0
495,Myles Turner\turnemy01,C,24,IND,47,47,1455,5.1,10.7,.477,1.7,5.1,.335,3.4,5.6,.606,2.7,3.5,.782,1.6,6.0,7.6,1.2,1.0,3.9,1.7,4.1,14.6
496,Jonas Valančiūnas\valanjo01,C,28,MEM,62,61,1755,9.0,15.2,.592,0.4,1.2,.368,8.6,14.1,.611,3.2,4.2,.773,5.2,10.7,15.9,2.3,0.7,1.2,2.1,3.7,21.7
497,Denzel Valentine\valende01,SG,27,CHI,62,3,1036,5.4,14.5,.373,2.8,8.4,.331,2.6,6.0,.431,0.6,0.6,.941,0.8,6.0,6.8,3.6,1.0,0.2,1.5,2.4,14.1
498,Jarred Vanderbilt\vandeja01,PF,21,MIN,64,30,1139,4.5,7.5,.606,0.0,0.2,.200,4.5,7.3,.615,1.8,3.2,.559,3.7,7.9,11.6,2.4,2.0,1.5,1.7,3.9,10.9
